Model,Accuracy (95% CI),F1 (95% CI),Precision (95% CI),Recall (95% CI),QWK (95% CI)
ResNet-50,79.94% (78.51%–81.29%),78.79% (77.34%–80.17%),78.34% (76.88%–79.73%),78.55% (77.09%–79.94%),0.9201 (0.9146–0.9253)
DenseNet-121,78.56% (77.10%–79.95%),77.70% (76.22%–79.11%),77.27% (75.78%–78.69%),77.37% (75.89%–78.79%),0.9134 (0.9075–0.9190)
EfficientNet-B4,83.74% (82.42%–84.98%),83.05% (81.71%–84.31%),82.83% (81.48%–84.10%),82.92% (81.57%–84.19%),0.9354 (0.9309–0.9396)
ConvNeXt-Tiny,80.85% (79.45%–82.18%),79.69% (78.26%–81.05%),79.31% (77.87%–80.68%),79.47% (78.03%–80.84%),0.9252 (0.9200–0.9300)
ViT-B/16,48.10% (46.37%–49.83%),45.51% (43.79%–47.24%),44.65% (42.93%–46.38%),44.88% (43.16%–46.61%),0.4618 (0.4341–0.4887)
ColonoMind (Ours),78.59% (77.13%–79.98%),75.85% (74.33%–77.30%),76.41% (74.91%–77.85%),75.58% (74.06%–77.04%),0.8889 (0.8814–0.8960)
Ensemble Voting,85.20% (83.93%–86.39%),84.01% (82.70%–85.24%),83.75% (82.43%–84.99%),83.90% (82.58%–85.13%),0.9450 (0.9412–0.9486)
