Dataset,Model,Accuracy (95% CI),Precision (95% CI),Recall (95% CI),F1 (95% CI),QWK (95% CI)
TMC-UCM,Ensemble (Weighted Voting),85.90% (84.11%–87.52%),85.20% (83.37%–86.86%),85.10% (83.27%–86.76%),85.15% (83.32%–86.81%),0.9480 (0.9428–0.9527)
LIMUC,Ensemble (Weighted Voting),81.20% (79.26%–82.99%),80.55% (78.59%–82.37%),80.60% (78.64%–82.42%),80.57% (78.61%–82.39%),0.8910 (0.8807–0.9004)
NTUH,Ensemble (Weighted Voting),82.10% (76.18%–86.80%),81.20% (75.20%–86.02%),81.30% (75.31%–86.11%),81.25% (75.25%–86.06%),0.9160 (0.8903–0.9359)
Unified,Ensemble (Weighted Voting),83.30% (82.12%–84.42%),82.40% (81.20%–83.54%),82.50% (81.30%–83.64%),82.45% (81.25%–83.59%),0.9220 (0.9172–0.9265)
