Dataset,Model,Accuracy (95% CI),Precision (95% CI),Recall (95% CI),F1 (95% CI),QWK (95% CI)
TMC-UCM,Ensemble (Majority Voting),85.20% (83.37%–86.86%),84.65% (82.80%–86.34%),84.50% (82.64%–86.19%),84.57% (82.71%–86.26%),0.9410 (0.9351–0.9464)
LIMUC,Ensemble (Majority Voting),80.50% (78.54%–82.32%),79.85% (77.87%–81.70%),79.80% (77.82%–81.65%),79.82% (77.84%–81.67%),0.8850 (0.8742–0.8949)
NTUH,Ensemble (Majority Voting),81.30% (75.31%–86.11%),80.35% (74.28%–85.27%),80.50% (74.44%–85.41%),80.42% (74.35%–85.34%),0.9100 (0.8826–0.9312)
Unified,Ensemble (Majority Voting),82.50% (81.30%–83.64%),81.70% (80.48%–82.86%),81.80% (80.58%–82.96%),81.75% (80.53%–82.91%),0.9150 (0.9098–0.9199)
