Model,Accuracy (95% CI),F1 (95% CI),Precision (95% CI),Recall (95% CI),QWK (95% CI)
ResNet-50,76.91% (75.59%–78.18%),74.54% (73.18%–75.86%),72.85% (71.46%–74.20%),73.63% (72.25%–74.96%),0.8609 (0.8527–0.8687)
DenseNet-121,73.87% (72.49%–75.20%),71.22% (69.81%–72.59%),68.95% (67.51%–70.36%),69.98% (68.55%–71.37%),0.8220 (0.8118–0.8317)
EfficientNet-B4,74.59% (73.23%–75.91%),71.01% (69.59%–72.39%),70.85% (69.43%–72.23%),70.86% (69.44%–72.24%),0.8485 (0.8396–0.8569)
ConvNeXt-Tiny,79.13% (77.85%–80.35%),77.54% (76.23%–78.80%),75.16% (73.81%–76.47%),76.09% (74.75%–77.38%),0.8911 (0.8846–0.8973)
ViT-B/16,74.41% (73.04%–75.73%),71.45% (70.04%–72.82%),70.70% (69.28%–72.08%),71.03% (69.61%–72.41%),0.8319 (0.8222–0.8411)
ColonoMind (Ours),78.59% (77.30%–79.83%),75.85% (74.51%–77.14%),76.41% (75.08%–77.69%),75.58% (74.23%–76.88%),0.8889 (0.8823–0.8952)
Ensemble Voting,81.30% (80.07%–82.47%),79.50% (78.23%–80.72%),78.10% (76.80%–79.35%),78.80% (77.51%–80.03%),0.9050 (0.8993–0.9104)
