Model,Accuracy (95% CI),Precision (95% CI),Recall (95% CI),F1 (95% CI),QWK (95% CI)
ResNet-50,70.35% (63.67%–76.26%),66.99% (60.19%–73.15%),67.17% (60.37%–73.32%),66.73% (59.92%–72.91%),0.7957 (0.7383–0.8416)
DenseNet-121,67.34% (60.55%–73.47%),64.41% (57.54%–70.73%),64.15% (57.28%–70.49%),64.16% (57.29%–70.50%),0.7906 (0.7320–0.8376)
EfficientNet-B4,77.89% (71.63%–83.10%),75.65% (69.24%–81.09%),76.03% (69.64%–81.43%),75.73% (69.32%–81.16%),0.8797 (0.8439–0.9077)
ConvNeXt-Tiny,71.36% (64.72%–77.19%),67.85% (61.08%–73.95%),68.04% (61.27%–74.12%),67.66% (60.88%–73.77%),0.8350 (0.7874–0.8727)
ViT-B/16,48.74% (41.89%–55.64%),47.14% (40.32%–54.06%),46.85% (40.04%–53.78%),46.87% (40.06%–53.80%),0.4330 (0.3127–0.5396)
