Model,Accuracy (95% CI),Precision (95% CI),Recall (95% CI),F1 (95% CI),QWK (95% CI)
ResNet-50,76.57% (74.49%–78.53%),68.40% (66.14%–70.58%),69.07% (66.82%–71.23%),68.73% (66.48%–70.90%),0.8415 (0.8270–0.8549)
DenseNet-121,75.50% (73.39%–77.49%),66.34% (64.05%–68.56%),67.70% (65.43%–69.89%),67.01% (64.73%–69.21%),0.8403 (0.8257–0.8538)
EfficientNet-B4,78.11% (76.07%–80.02%),71.46% (69.26%–73.57%),73.48% (71.32%–75.53%),72.46% (70.28%–74.54%),0.8553 (0.8419–0.8676)
ConvNeXt-Tiny,76.87% (74.80%–78.82%),61.16% (58.81%–63.46%),61.28% (58.93%–63.58%),61.22% (58.87%–63.52%),0.7353 (0.7126–0.7565)
ViT-B/16,68.62% (66.36%–70.79%),58.91% (56.54%–61.24%),58.72% (56.35%–61.05%),58.81% (56.44%–61.14%),0.7058 (0.6810–0.7290)
