Model,Accuracy (95% CI),Precision (95% CI),Recall (95% CI),F1 (95% CI),QWK (95% CI)
ResNet-50,79.94% (77.90%–81.83%),78.79% (76.72%–80.73%),78.34% (76.25%–80.29%),78.56% (76.48%–80.50%),0.9201 (0.9122–0.9273)
DenseNet-121,78.56% (76.48%–80.50%),77.70% (75.59%–79.67%),77.27% (75.15%–79.26%),77.48% (75.37%–79.46%),0.9134 (0.9049–0.9212)
EfficientNet-B4,83.74% (81.85%–85.47%),83.05% (81.13%–84.81%),82.83% (80.90%–84.60%),82.94% (81.02%–84.71%),0.9354 (0.9290–0.9413)
ConvNeXt-Tiny,80.85% (78.85%–82.71%),79.69% (77.65%–81.59%),79.31% (77.25%–81.23%),79.50% (77.45%–81.41%),0.9252 (0.9178–0.9320)
ViT-B/16,48.10% (45.66%–50.55%),45.51% (43.08%–47.96%),44.65% (42.23%–47.10%),45.08% (42.65%–47.53%),0.4618 (0.4223–0.4995)
