Model,Accuracy (95% CI),F1 (95% CI),Precision (95% CI),Recall (95% CI),QWK (95% CI)
ResNet-50,76.57% (74.49%–78.53%),68.40% (66.14%–70.58%),69.07% (66.82%–71.23%),68.63% (66.37%–70.80%),0.8415 (0.8270–0.8549)
DenseNet-121,75.50% (73.39%–77.49%),66.34% (64.05%–68.56%),67.70% (65.43%–69.89%),66.94% (64.66%–69.14%),0.8403 (0.8257–0.8538)
EfficientNet-B4,78.11% (76.07%–80.02%),71.46% (69.26%–73.57%),73.48% (71.32%–75.53%),72.36% (70.18%–74.44%),0.8553 (0.8419–0.8676)
ConvNeXt-Tiny,76.87% (74.80%–78.82%),61.16% (58.81%–63.46%),61.28% (58.93%–63.58%),61.10% (58.75%–63.40%),0.7353 (0.7126–0.7565)
ViT-B/16,68.62% (66.36%–70.79%),58.91% (56.54%–61.24%),58.72% (56.35%–61.05%),58.60% (56.23%–60.93%),0.7058 (0.6810–0.7290)
ColonoMind (Ours),78.59% (76.57%–80.48%),75.85% (73.75%–77.83%),76.41% (74.32%–78.38%),75.58% (73.47%–77.57%),0.8889 (0.8784–0.8985)
Ensemble Voting,80.55% (78.59%–82.37%),73.90% (71.75%–75.94%),74.30% (72.16%–76.33%),74.10% (71.96%–76.13%),0.8760 (0.8644–0.8867)
